customer_id,full_name,birth_year,region,segment,annual_income,tenure_months,vulnerability_flag,data_classification
C000036,Synthetic Customer 0036,1996,Dublin,Mass Market,22000,204,0,SYNTHETIC
C000037,Synthetic Customer 0037,2002,Munster,Mass Market,45673.39,190,0,SYNTHETIC
C000038,Synthetic Customer 0038,1967,Dublin,Mass Market,25603.03,73,0,SYNTHETIC
C000039,Synthetic Customer 0039,1957,Dublin,Mass Market,49559.51,233,0,SYNTHETIC
C000040,Synthetic Customer 0040,1957,Munster,Emerging Affluent,44452.29,176,0,SYNTHETIC
C000041,Synthetic Customer 0041,2005,Munster,Mass Market,67414.57,123,0,SYNTHETIC
C000042,Synthetic Customer 0042,1952,Leinster,Mass Market,35931.74,155,0,SYNTHETIC
C000043,Synthetic Customer 0043,1978,Dublin,Emerging Affluent,22000,122,0,SYNTHETIC
C000044,Synthetic Customer 0044,1982,Ulster (ROI),Emerging Affluent,35484.68,54,0,SYNTHETIC
C000045,Synthetic Customer 0045,1954,Dublin,Mass Market,28616.82,118,1,SYNTHETIC
C000046,Synthetic Customer 0046,2003,Connacht,Emerging Affluent,48062.94,218,0,SYNTHETIC
C000047,Synthetic Customer 0047,1954,Munster,Mass Market,39422.17,146,1,SYNTHETIC
C000048,Synthetic Customer 0048,1972,Dublin,Affluent,56498.33,13,0,SYNTHETIC
C000049,Synthetic Customer 0049,2002,Dublin,Emerging Affluent,57015.65,230,1,SYNTHETIC
C000050,Synthetic Customer 0050,1958,Munster,Affluent,50069.35,99,0,SYNTHETIC
C000051,Synthetic Customer 0051,1955,Leinster,Mass Market,63827.39,68,0,SYNTHETIC
C000052,Synthetic Customer 0052,1993,Leinster,Mass Market,46731.09,81,0,SYNTHETIC
C000053,Synthetic Customer 0053,1971,Dublin,Mass Market,57548.12,186,0,SYNTHETIC
C000054,Synthetic Customer 0054,1954,Leinster,Mass Market,26382.73,201,0,SYNTHETIC
C000055,Synthetic Customer 0055,1993,Leinster,Mass Market,26676.54,9,0,SYNTHETIC
C000056,Synthetic Customer 0056,1976,Connacht,Mass Market,25444.14,131,0,SYNTHETIC
C000057,Synthetic Customer 0057,1948,Connacht,Mass Market,82295.89,110,0,SYNTHETIC
C000058,Synthetic Customer 0058,1968,Munster,Emerging Affluent,43631.22,233,0,SYNTHETIC
C000059,Synthetic Customer 0059,1974,Munster,Mass Market,59132.49,192,0,SYNTHETIC
C000060,Synthetic Customer 0060,1992,Munster,Mass Market,39811.61,149,0,SYNTHETIC
C000061,Synthetic Customer 0061,1958,Connacht,Emerging Affluent,36393.26,189,0,SYNTHETIC
C000062,Synthetic Customer 0062,1949,Leinster,Mass Market,50946.24,161,0,SYNTHETIC
C000063,Synthetic Customer 0063,1961,Dublin,Affluent,29513.52,176,1,SYNTHETIC
C000064,Synthetic Customer 0064,1968,Dublin,Affluent,22000,61,0,SYNTHETIC
C000065,Synthetic Customer 0065,1975,Connacht,Affluent,37651.75,128,0,SYNTHETIC
C000066,Synthetic Customer 0066,1989,Dublin,Mass Market,50681.46,108,0,SYNTHETIC
C000067,Synthetic Customer 0067,2001,Ulster (ROI),Affluent,50203.52,146,0,SYNTHETIC
C000068,Synthetic Customer 0068,1955,Munster,Emerging Affluent,50880.28,183,0,SYNTHETIC
C000069,Synthetic Customer 0069,1966,Dublin,Mass Market,55348.02,174,1,SYNTHETIC
C000070,Synthetic Customer 0070,1992,Dublin,Mass Market,51157.9,64,1,SYNTHETIC
C000071,Synthetic Customer 0071,1986,Munster,Mass Market,24696.73,217,1,SYNTHETIC
C000072,Synthetic Customer 0072,2005,Munster,Mass Market,69126.52,29,0,SYNTHETIC
C000073,Synthetic Customer 0073,1965,Ulster (ROI),Mass Market,32320.45,133,0,SYNTHETIC
C000074,Synthetic Customer 0074,1966,Munster,Emerging Affluent,42974.71,78,0,SYNTHETIC
C000075,Synthetic Customer 0075,2002,Dublin,Emerging Affluent,55108.02,78,0,SYNTHETIC
C000076,Synthetic Customer 0076,1973,Leinster,Mass Market,46816.83,238,1,SYNTHETIC
C000077,Synthetic Customer 0077,1974,Dublin,Mass Market,40824.91,43,0,SYNTHETIC
C000078,Synthetic Customer 0078,2001,Dublin,Emerging Affluent,66219.05,61,0,SYNTHETIC
C000079,Synthetic Customer 0079,1997,Dublin,Mass Market,22000,135,0,SYNTHETIC
C000080,Synthetic Customer 0080,1987,Dublin,Mass Market,50251.98,85,0,SYNTHETIC
C000081,Synthetic Customer 0081,1963,Munster,Mass Market,87368.65,3,1,SYNTHETIC
C000082,Synthetic Customer 0082,2005,Connacht,Affluent,54093.85,218,0,SYNTHETIC
C000083,Synthetic Customer 0083,1962,Connacht,Mass Market,30775.94,195,0,SYNTHETIC
C000084,Synthetic Customer 0084,1964,Connacht,Mass Market,36177.0,54,0,SYNTHETIC
C000085,Synthetic Customer 0085,2003,Dublin,Emerging Affluent,41053.91,21,1,SYNTHETIC
C000086,Synthetic Customer 0086,1999,Dublin,Mass Market,36487.87,17,0,SYNTHETIC
C000087,Synthetic Customer 0087,2001,Ulster (ROI),Affluent,65055.13,81,0,SYNTHETIC
C000088,Synthetic Customer 0088,1957,Dublin,Mass Market,65988.54,143,0,SYNTHETIC
C000089,Synthetic Customer 0089,1961,Leinster,Mass Market,31558.45,4,0,SYNTHETIC
C000090,Synthetic Customer 0090,2005,Connacht,Mass Market,24301.71,133,0,SYNTHETIC
C000091,Synthetic Customer 0091,1992,Ulster (ROI),Emerging Affluent,58181.43,193,0,SYNTHETIC
C000092,Synthetic Customer 0092,1977,Dublin,Mass Market,27583.31,3,0,SYNTHETIC
C000093,Synthetic Customer 0093,2004,Dublin,Mass Market,38148.0,191,0,SYNTHETIC
C000094,Synthetic Customer 0094,1971,Leinster,Mass Market,61758.87,74,0,SYNTHETIC
C000095,Synthetic Customer 0095,1996,Connacht,Emerging Affluent,33600.62,50,0,SYNTHETIC
C000096,Synthetic Customer 0096,1994,Dublin,Mass Market,54171.09,151,0,SYNTHETIC
C000097,Synthetic Customer 0097,1985,Munster,Mass Market,40398.93,136,0,SYNTHETIC
C000098,Synthetic Customer 0098,1993,Munster,Mass Market,22000,58,0,SYNTHETIC
C000099,Synthetic Customer 0099,1983,Dublin,Mass Market,41297.18,105,0,SYNTHETIC
C000100,Synthetic Customer 0100,2002,Connacht,Mass Market,29531.87,195,0,SYNTHETIC
C000101,Synthetic Customer 0101,1958,Connacht,Mass Market,22000,239,0,SYNTHETIC
C000102,Synthetic Customer 0102,1951,Connacht,Mass Market,49890.81,103,0,SYNTHETIC
C000103,Synthetic Customer 0103,1969,Connacht,Mass Market,26175.6,73,0,SYNTHETIC
C000104,Synthetic Customer 0104,1954,Connacht,Mass Market,86174.84,149,0,SYNTHETIC
C000105,Synthetic Customer 0105,1978,Connacht,Mass Market,41132.69,51,0,SYNTHETIC
C000106,Synthetic Customer 0106,1961,Ulster (ROI),Mass Market,28275.66,56,0,SYNTHETIC
C000107,Synthetic Customer 0107,1963,Leinster,Mass Market,53682.35,31,0,SYNTHETIC
C000108,Synthetic Customer 0108,1985,Dublin,Mass Market,27041.29,27,0,SYNTHETIC
C000109,Synthetic Customer 0109,1957,Munster,Mass Market,103159.8,212,0,SYNTHETIC
C000110,Synthetic Customer 0110,1968,Connacht,Affluent,46786.07,214,0,SYNTHETIC
C000111,Synthetic Customer 0111,1975,Munster,Mass Market,22000,180,0,SYNTHETIC
C000112,Synthetic Customer 0112,2002,Leinster,Affluent,24109.28,12,0,SYNTHETIC
C000113,Synthetic Customer 0113,1987,Leinster,Mass Market,22000,199,1,SYNTHETIC
C000114,Synthetic Customer 0114,1952,Ulster (ROI),Emerging Affluent,29024.44,240,0,SYNTHETIC
C000115,Synthetic Customer 0115,1971,Dublin,Emerging Affluent,22725.56,61,0,SYNTHETIC
C000116,Synthetic Customer 0116,1953,Munster,Mass Market,41994.78,100,0,SYNTHETIC
C000117,Synthetic Customer 0117,1974,Dublin,Mass Market,40251.41,183,0,SYNTHETIC
C000118,Synthetic Customer 0118,1989,Leinster,Mass Market,27631.22,228,0,SYNTHETIC
C000119,Synthetic Customer 0119,1997,Dublin,Mass Market,59276.87,54,0,SYNTHETIC
C000120,Synthetic Customer 0120,1981,Connacht,Mass Market,54754.14,74,0,SYNTHETIC
C000121,Synthetic Customer 0121,1963,Leinster,Mass Market,22000,232,0,SYNTHETIC
C000122,Synthetic Customer 0122,1983,Dublin,Mass Market,32447.42,57,0,SYNTHETIC
C000123,Synthetic Customer 0123,1998,Dublin,Mass Market,29390.25,75,0,SYNTHETIC
C000124,Synthetic Customer 0124,1987,Connacht,Mass Market,55856.95,61,0,SYNTHETIC
C000125,Synthetic Customer 0125,1954,Connacht,Mass Market,52574.17,113,0,SYNTHETIC
C000126,Synthetic Customer 0126,1991,Dublin,Affluent,48218.64,228,0,SYNTHETIC
C000127,Synthetic Customer 0127,2001,Ulster (ROI),Mass Market,22983.7,179,1,SYNTHETIC
C000128,Synthetic Customer 0128,1967,Leinster,Mass Market,89470.06,224,0,SYNTHETIC
C000129,Synthetic Customer 0129,1998,Ulster (ROI),Mass Market,26949.66,34,0,SYNTHETIC
C000130,Synthetic Customer 0130,2004,Leinster,Mass Market,35365.55,165,0,SYNTHETIC
C000131,Synthetic Customer 0131,2003,Leinster,Mass Market,22000,183,0,SYNTHETIC
C000132,Synthetic Customer 0132,1996,Connacht,Affluent,40417.87,51,0,SYNTHETIC
C000133,Synthetic Customer 0133,1964,Leinster,Emerging Affluent,29203.57,73,0,SYNTHETIC
C000134,Synthetic Customer 0134,1959,Dublin,Mass Market,51472.13,230,0,SYNTHETIC
C000135,Synthetic Customer 0135,2005,Ulster (ROI),Mass Market,31878.82,146,0,SYNTHETIC
C000136,Synthetic Customer 0136,1983,Ulster (ROI),Emerging Affluent,48583.35,173,0,SYNTHETIC
C000137,Synthetic Customer 0137,1988,Connacht,Mass Market,22000,107,0,SYNTHETIC
C000138,Synthetic Customer 0138,1967,Dublin,Mass Market,28273.67,202,0,SYNTHETIC
C000139,Synthetic Customer 0139,2001,Dublin,Emerging Affluent,30553.71,19,0,SYNTHETIC
C000140,Synthetic Customer 0140,1976,Ulster (ROI),Mass Market,43237.11,119,0,SYNTHETIC
C000141,Synthetic Customer 0141,1996,Dublin,Mass Market,50926.43,233,0,SYNTHETIC
C000142,Synthetic Customer 0142,1983,Munster,Emerging Affluent,60760.35,117,0,SYNTHETIC
C000143,Synthetic Customer 0143,1956,Connacht,Mass Market,22000,209,0,SYNTHETIC
C000144,Synthetic Customer 0144,1948,Leinster,Mass Market,22000,137,0,SYNTHETIC
C000145,Synthetic Customer 0145,1965,Leinster,Affluent,37543.62,25,0,SYNTHETIC
C000146,Synthetic Customer 0146,1986,Munster,Mass Market,28320.31,230,0,SYNTHETIC
C000147,Synthetic Customer 0147,1977,Connacht,Mass Market,43571.41,224,0,SYNTHETIC
C000148,Synthetic Customer 0148,1976,Connacht,Mass Market,61246.34,84,0,SYNTHETIC
C000149,Synthetic Customer 0149,1982,Dublin,Emerging Affluent,33226.94,182,0,SYNTHETIC
C000150,Synthetic Customer 0150,1950,Dublin,Mass Market,62219.6,66,0,SYNTHETIC
C000151,Synthetic Customer 0151,1995,Leinster,Affluent,43012.09,154,0,SYNTHETIC
C000152,Synthetic Customer 0152,1962,Munster,Mass Market,55439.51,71,0,SYNTHETIC
C000153,Synthetic Customer 0153,1973,Dublin,Emerging Affluent,24024.62,58,1,SYNTHETIC
C000154,Synthetic Customer 0154,1955,Ulster (ROI),Mass Market,24017.53,202,0,SYNTHETIC
C000155,Synthetic Customer 0155,1949,Leinster,Mass Market,30486.06,27,0,SYNTHETIC
C000156,Synthetic Customer 0156,1953,Leinster,Mass Market,58604.94,4,0,SYNTHETIC
C000157,Synthetic Customer 0157,1964,Ulster (ROI),Affluent,37088.8,67,0,SYNTHETIC
C000158,Synthetic Customer 0158,1984,Ulster (ROI),Mass Market,22000,185,0,SYNTHETIC
C000159,Synthetic Customer 0159,1976,Leinster,Mass Market,55961.46,114,0,SYNTHETIC
C000160,Synthetic Customer 0160,1956,Leinster,Emerging Affluent,27799.83,235,1,SYNTHETIC
C000161,Synthetic Customer 0161,1957,Leinster,Mass Market,84947.25,51,0,SYNTHETIC
C000162,Synthetic Customer 0162,1992,Ulster (ROI),Emerging Affluent,22000,173,0,SYNTHETIC
C000163,Synthetic Customer 0163,2004,Leinster,Mass Market,33565.3,80,0,SYNTHETIC
C000164,Synthetic Customer 0164,1948,Dublin,Emerging Affluent,55559.61,12,0,SYNTHETIC
C000165,Synthetic Customer 0165,1970,Dublin,Mass Market,29089.14,131,0,SYNTHETIC
C000166,Synthetic Customer 0166,1967,Leinster,Emerging Affluent,52726.55,203,0,SYNTHETIC
C000167,Synthetic Customer 0167,2001,Leinster,Mass Market,22000,240,0,SYNTHETIC
C000168,Synthetic Customer 0168,1972,Leinster,Mass Market,26500.51,79,0,SYNTHETIC
C000169,Synthetic Customer 0169,1994,Connacht,Mass Market,32773.97,193,0,SYNTHETIC
C000170,Synthetic Customer 0170,1994,Connacht,Mass Market,26578.54,208,0,SYNTHETIC
C000171,Synthetic Customer 0171,1981,Ulster (ROI),Mass Market,35718.9,71,0,SYNTHETIC
C000172,Synthetic Customer 0172,1974,Dublin,Mass Market,51524.04,231,0,SYNTHETIC
C000173,Synthetic Customer 0173,1993,Leinster,Emerging Affluent,80775.68,81,0,SYNTHETIC
C000174,Synthetic Customer 0174,1990,Connacht,Mass Market,23463.25,3,1,SYNTHETIC
C000175,Synthetic Customer 0175,1990,Munster,Mass Market,68988.89,199,1,SYNTHETIC
C000176,Synthetic Customer 0176,1974,Dublin,Emerging Affluent,32820.21,2,0,SYNTHETIC
C000177,Synthetic Customer 0177,1954,Munster,Mass Market,35978.18,105,0,SYNTHETIC
C000178,Synthetic Customer 0178,2002,Connacht,Mass Market,37367.79,141,0,SYNTHETIC
C000179,Synthetic Customer 0179,1978,Connacht,Emerging Affluent,64451.72,40,0,SYNTHETIC
C000180,Synthetic Customer 0180,1995,Leinster,Mass Market,22000,174,0,SYNTHETIC
C000181,Synthetic Customer 0181,1957,Dublin,Mass Market,32291.89,30,0,SYNTHETIC
C000182,Synthetic Customer 0182,1996,Dublin,Mass Market,29705.97,65,0,SYNTHETIC
C000183,Synthetic Customer 0183,1984,Connacht,Emerging Affluent,22471.75,146,0,SYNTHETIC
C000184,Synthetic Customer 0184,1989,Leinster,Mass Market,24931.61,86,0,SYNTHETIC
C000185,Synthetic Customer 0185,1990,Dublin,Emerging Affluent,27319.53,192,0,SYNTHETIC
C000186,Synthetic Customer 0186,1977,Connacht,Emerging Affluent,43065.2,82,0,SYNTHETIC
C000187,Synthetic Customer 0187,1991,Leinster,Mass Market,47311.38,27,1,SYNTHETIC
C000188,Synthetic Customer 0188,1951,Leinster,Mass Market,39102.6,71,0,SYNTHETIC
C000189,Synthetic Customer 0189,1991,Ulster (ROI),Mass Market,73679.38,179,0,SYNTHETIC
C000190,Synthetic Customer 0190,1958,Dublin,Mass Market,34938.57,30,0,SYNTHETIC
C000191,Synthetic Customer 0191,1951,Leinster,Emerging Affluent,43171.35,157,0,SYNTHETIC
C000192,Synthetic Customer 0192,1992,Munster,Mass Market,75284.1,216,0,SYNTHETIC
C000193,Synthetic Customer 0193,1964,Leinster,Mass Market,35580.53,154,0,SYNTHETIC
C000194,Synthetic Customer 0194,1969,Connacht,Mass Market,34069.92,111,1,SYNTHETIC
C000195,Synthetic Customer 0195,1968,Dublin,Mass Market,44775.49,194,1,SYNTHETIC
C000196,Synthetic Customer 0196,1957,Munster,Emerging Affluent,68862.54,26,0,SYNTHETIC
C000197,Synthetic Customer 0197,1992,Leinster,Mass Market,47067.14,184,0,SYNTHETIC
C000198,Synthetic Customer 0198,1980,Dublin,Mass Market,22000,191,1,SYNTHETIC
C000199,Synthetic Customer 0199,1974,Dublin,Mass Market,43933.08,114,0,SYNTHETIC
C000200,Synthetic Customer 0200,1963,Ulster (ROI),Emerging Affluent,93196.49,192,0,SYNTHETIC
C000201,Synthetic Customer 0201,1948,Dublin,Mass Market,31263.93,178,0,SYNTHETIC
C000202,Synthetic Customer 0202,2002,Dublin,Affluent,43313.37,144,0,SYNTHETIC
C000203,Synthetic Customer 0203,1979,Leinster,Mass Market,43907.88,4,0,SYNTHETIC
C000204,Synthetic Customer 0204,1965,Munster,Mass Market,55871.12,239,0,SYNTHETIC
C000205,Synthetic Customer 0205,1992,Munster,Mass Market,22000,124,0,SYNTHETIC
C000206,Synthetic Customer 0206,2002,Dublin,Mass Market,45818.56,2,0,SYNTHETIC
C000207,Synthetic Customer 0207,1960,Leinster,Mass Market,104662.21,165,0,SYNTHETIC
C000208,Synthetic Customer 0208,1957,Leinster,Mass Market,40490.1,24,0,SYNTHETIC
C000209,Synthetic Customer 0209,1976,Connacht,Mass Market,63882.8,4,0,SYNTHETIC
C000210,Synthetic Customer 0210,1958,Ulster (ROI),Mass Market,56332.54,83,0,SYNTHETIC
C000211,Synthetic Customer 0211,1951,Connacht,Mass Market,52705.1,90,0,SYNTHETIC
C000212,Synthetic Customer 0212,1975,Dublin,Affluent,33162.94,232,0,SYNTHETIC
C000213,Synthetic Customer 0213,1960,Dublin,Mass Market,40826.5,145,0,SYNTHETIC
C000214,Synthetic Customer 0214,1985,Dublin,Mass Market,59898.37,207,0,SYNTHETIC
C000215,Synthetic Customer 0215,1979,Leinster,Mass Market,56907.8,104,0,SYNTHETIC
C000216,Synthetic Customer 0216,1986,Connacht,Mass Market,28457.31,60,0,SYNTHETIC
C000217,Synthetic Customer 0217,2000,Connacht,Emerging Affluent,69058.48,93,0,SYNTHETIC
C000218,Synthetic Customer 0218,1997,Dublin,Mass Market,56067.6,201,0,SYNTHETIC
C000219,Synthetic Customer 0219,1971,Munster,Emerging Affluent,93880.43,3,0,SYNTHETIC
C000220,Synthetic Customer 0220,1967,Dublin,Mass Market,43602.04,209,0,SYNTHETIC
C000221,Synthetic Customer 0221,1992,Munster,Mass Market,57665.69,11,0,SYNTHETIC
C000222,Synthetic Customer 0222,1984,Connacht,Mass Market,33017.72,63,0,SYNTHETIC
C000223,Synthetic Customer 0223,1959,Munster,Affluent,51608.44,66,0,SYNTHETIC
C000224,Synthetic Customer 0224,1993,Connacht,Affluent,66262.21,227,0,SYNTHETIC
C000225,Synthetic Customer 0225,1963,Munster,Mass Market,32852.65,7,0,SYNTHETIC
C000226,Synthetic Customer 0226,1989,Dublin,Emerging Affluent,44948.49,38,0,SYNTHETIC
C000227,Synthetic Customer 0227,1956,Dublin,Mass Market,38837.21,59,1,SYNTHETIC
C000228,Synthetic Customer 0228,1991,Leinster,Mass Market,34955.4,2,1,SYNTHETIC
C000229,Synthetic Customer 0229,1996,Dublin,Emerging Affluent,55094.36,177,0,SYNTHETIC
C000230,Synthetic Customer 0230,1996,Leinster,Emerging Affluent,40983.59,58,0,SYNTHETIC
C000231,Synthetic Customer 0231,1976,Munster,Emerging Affluent,47684.76,217,0,SYNTHETIC
C000232,Synthetic Customer 0232,1977,Dublin,Mass Market,46882.09,46,0,SYNTHETIC
C000233,Synthetic Customer 0233,1968,Ulster (ROI),Emerging Affluent,38011.7,149,1,SYNTHETIC
C000234,Synthetic Customer 0234,1987,Dublin,Emerging Affluent,54127.16,123,0,SYNTHETIC
C000235,Synthetic Customer 0235,1977,Dublin,Mass Market,57815.85,67,0,SYNTHETIC
C000236,Synthetic Customer 0236,1974,Munster,Mass Market,55171.01,120,0,SYNTHETIC
C000237,Synthetic Customer 0237,1972,Dublin,Affluent,56266.79,65,0,SYNTHETIC
C000238,Synthetic Customer 0238,1948,Leinster,Mass Market,24930.16,75,0,SYNTHETIC
C000239,Synthetic Customer 0239,1995,Leinster,Mass Market,47305.18,28,0,SYNTHETIC
C000240,Synthetic Customer 0240,1983,Munster,Affluent,58499.58,124,1,SYNTHETIC
C000241,Synthetic Customer 0241,1975,Dublin,Mass Market,23220.14,102,0,SYNTHETIC
C000242,Synthetic Customer 0242,1976,Dublin,Affluent,35153.13,195,0,SYNTHETIC
C000243,Synthetic Customer 0243,1959,Dublin,Mass Market,47448.9,234,0,SYNTHETIC
C000244,Synthetic Customer 0244,1987,Dublin,Mass Market,32045.0,83,1,SYNTHETIC
C000245,Synthetic Customer 0245,1961,Dublin,Emerging Affluent,54296.9,150,0,SYNTHETIC
C000246,Synthetic Customer 0246,1978,Dublin,Mass Market,72468.31,137,0,SYNTHETIC
C000247,Synthetic Customer 0247,2000,Connacht,Mass Market,46913.81,87,0,SYNTHETIC
C000248,Synthetic Customer 0248,1970,Connacht,Affluent,27540.0,59,0,SYNTHETIC
C000249,Synthetic Customer 0249,1994,Dublin,Mass Market,64092.24,178,0,SYNTHETIC
C000250,Synthetic Customer 0250,1958,Connacht,Mass Market,24816.58,9,0,SYNTHETIC
C000251,Synthetic Customer 0251,1959,Dublin,Mass Market,26063.03,167,0,SYNTHETIC
C000252,Synthetic Customer 0252,1972,Munster,Mass Market,69331.8,160,1,SYNTHETIC
C000253,Synthetic Customer 0253,1952,Munster,Mass Market,55724.97,125,0,SYNTHETIC
C000254,Synthetic Customer 0254,1949,Dublin,Mass Market,77250.15,195,0,SYNTHETIC
C000255,Synthetic Customer 0255,1983,Leinster,Mass Market,28669.37,95,0,SYNTHETIC
C000256,Synthetic Customer 0256,1962,Ulster (ROI),Mass Market,86772.67,118,1,SYNTHETIC
C000257,Synthetic Customer 0257,1953,Munster,Mass Market,33476.79,86,0,SYNTHETIC
C000258,Synthetic Customer 0258,1954,Connacht,Mass Market,48567.35,42,0,SYNTHETIC
C000259,Synthetic Customer 0259,2003,Munster,Emerging Affluent,52312.27,180,0,SYNTHETIC
C000260,Synthetic Customer 0260,1986,Munster,Mass Market,22000,19,0,SYNTHETIC
C000261,Synthetic Customer 0261,1962,Dublin,Emerging Affluent,22000,16,0,SYNTHETIC
C000262,Synthetic Customer 0262,1982,Leinster,Affluent,49791.92,95,0,SYNTHETIC
C000263,Synthetic Customer 0263,1983,Munster,Mass Market,41849.46,202,0,SYNTHETIC
C000264,Synthetic Customer 0264,1968,Leinster,Mass Market,48756.82,123,0,SYNTHETIC
C000265,Synthetic Customer 0265,1967,Leinster,Mass Market,32381.72,70,0,SYNTHETIC
C000266,Synthetic Customer 0266,1957,Leinster,Affluent,51116.07,217,1,SYNTHETIC
C000267,Synthetic Customer 0267,1984,Leinster,Mass Market,22000,33,1,SYNTHETIC
C000268,Synthetic Customer 0268,1973,Connacht,Mass Market,53407.75,133,0,SYNTHETIC
C000269,Synthetic Customer 0269,1980,Dublin,Mass Market,50870.49,181,0,SYNTHETIC
C000270,Synthetic Customer 0270,1961,Leinster,Mass Market,43206.78,23,0,SYNTHETIC
C000271,Synthetic Customer 0271,1962,Leinster,Mass Market,33491.32,152,0,SYNTHETIC
C000272,Synthetic Customer 0272,2002,Munster,Emerging Affluent,45898.89,184,0,SYNTHETIC
C000273,Synthetic Customer 0273,1984,Dublin,Mass Market,27490.19,8,0,SYNTHETIC
C000274,Synthetic Customer 0274,1964,Leinster,Mass Market,36834.58,215,0,SYNTHETIC
C000275,Synthetic Customer 0275,1950,Munster,Mass Market,27802.21,4,0,SYNTHETIC
C000276,Synthetic Customer 0276,1961,Leinster,Mass Market,54195.9,51,0,SYNTHETIC
C000277,Synthetic Customer 0277,1995,Connacht,Mass Market,46961.37,191,1,SYNTHETIC
C000278,Synthetic Customer 0278,1977,Leinster,Mass Market,38414.32,77,0,SYNTHETIC
C000279,Synthetic Customer 0279,1962,Dublin,Mass Market,46828.4,28,0,SYNTHETIC
C000280,Synthetic Customer 0280,1950,Dublin,Mass Market,35802.64,154,1,SYNTHETIC
C000281,Synthetic Customer 0281,1989,Munster,Mass Market,42141.05,78,0,SYNTHETIC
C000282,Synthetic Customer 0282,1976,Leinster,Mass Market,53993.34,111,0,SYNTHETIC
C000283,Synthetic Customer 0283,1950,Ulster (ROI),Mass Market,31840.49,155,0,SYNTHETIC
C000284,Synthetic Customer 0284,1988,Connacht,Emerging Affluent,42511.73,149,1,SYNTHETIC
C000285,Synthetic Customer 0285,1983,Munster,Mass Market,50846.81,44,0,SYNTHETIC
C000286,Synthetic Customer 0286,1956,Munster,Emerging Affluent,82650.75,58,0,SYNTHETIC
C000287,Synthetic Customer 0287,2003,Leinster,Affluent,53509.73,116,0,SYNTHETIC
