customer_id,full_name,region,segment,annual_income,vulnerability_flag,loan_id,outstanding_balance,utilisation_ratio,days_past_due,missed_payments_12m,annual_inflows,annual_outflows,affordability_ratio,risk_score,risk_band,recommended_action,risk_rank,top_5pct_flag
C000774,Synthetic Customer 0774,Dublin,Affluent,41940.11,0,L000774,643.55,0.5795,90,2,42989.47,38454.45,0.8945,66.5,High,Proactive affordability contact,23,1
C000106,Synthetic Customer 0106,Ulster (ROI),Mass Market,28275.66,0,L000106,12406.31,0.5549,120,2,28478.04,26210.78,0.9204,65.7,High,Proactive affordability contact,24,1
C000014,Synthetic Customer 0014,Munster,Emerging Affluent,22000.0,0,L000014,18041.67,0.4352,180,3,21633.1,20750.95,0.9592,65.5,High,Proactive affordability contact,25,1
C000498,Synthetic Customer 0498,Dublin,Mass Market,48806.42,0,L000498,22744.46,0.8793,60,1,48105.45,38687.76,0.8042,65.4,High,Proactive affordability contact,26,1
C000772,Synthetic Customer 0772,Leinster,Mass Market,89306.01,0,L000772,12999.47,0.5402,120,2,90536.1,84280.42,0.9309,65.2,High,Proactive affordability contact,27,1
C000703,Synthetic Customer 0703,Munster,Emerging Affluent,29519.7,0,L000703,18002.58,0.4371,90,3,29862.88,26320.93,0.8814,64.9,High,Proactive affordability contact,28,1
C000766,Synthetic Customer 0766,Leinster,Mass Market,36868.81,0,L000766,22165.53,0.3034,225,5,35015.73,34278.86,0.979,64.6,High,Proactive affordability contact,29,1
C000581,Synthetic Customer 0581,Ulster (ROI),Mass Market,29573.52,0,L000581,15845.01,0.5222,90,2,29341.1,26927.18,0.9177,64.3,High,Proactive affordability contact,30,1
C000911,Synthetic Customer 0911,Dublin,Emerging Affluent,23906.76,1,L000911,28002.82,0.3662,120,2,23847.72,25881.1,1.0853,64.2,High,Proactive affordability contact,31,1
C000577,Synthetic Customer 0577,Dublin,Emerging Affluent,41596.84,0,L000577,13933.92,0.8203,60,1,41416.07,35871.98,0.8661,63.5,High,Proactive affordability contact,32,1
C000486,Synthetic Customer 0486,Dublin,Mass Market,52823.74,0,L000486,3784.11,0.5091,120,2,52382.09,46620.71,0.89,63.5,High,Proactive affordability contact,33,1
C000632,Synthetic Customer 0632,Dublin,Mass Market,41461.58,0,L000632,3475.22,0.5099,90,2,42936.29,37629.45,0.8764,63.4,High,Proactive affordability contact,34,1
C000072,Synthetic Customer 0072,Munster,Mass Market,69126.52,0,L000072,8536.63,0.7873,60,1,68406.15,65745.85,0.9611,63.0,High,Proactive affordability contact,35,1
C000578,Synthetic Customer 0578,Dublin,Mass Market,63105.38,1,L000578,30978.52,0.7409,45,1,61762.67,63341.39,1.0256,62.4,High,Proactive affordability contact,36,1
C000290,Synthetic Customer 0290,Ulster (ROI),Mass Market,43917.8,0,L000290,6328.49,0.8515,30,2,44393.62,44370.44,0.9995,62.2,High,Proactive affordability contact,37,1
C000666,Synthetic Customer 0666,Munster,Emerging Affluent,22000.0,0,L000666,16491.25,0.7745,60,1,22034.31,19766.82,0.8971,61.9,High,Proactive affordability contact,38,1
C000624,Synthetic Customer 0624,Dublin,Mass Market,31225.39,0,L000624,26320.66,0.7581,60,1,29695.65,28655.77,0.965,61.8,High,Proactive affordability contact,39,1
C000039,Synthetic Customer 0039,Dublin,Mass Market,49559.51,0,L000039,27942.9,0.4523,120,2,49551.58,46264.01,0.9337,61.5,High,Proactive affordability contact,40,1
C000509,Synthetic Customer 0509,Leinster,Mass Market,32629.41,0,L000509,12128.68,0.6502,60,2,32545.58,30613.97,0.9406,61.5,High,Proactive affordability contact,41,1
C000108,Synthetic Customer 0108,Dublin,Mass Market,27041.29,0,L000108,7158.99,0.4458,90,2,26988.12,24065.97,0.8917,60.8,High,Proactive affordability contact,42,1
C000953,Synthetic Customer 0953,Connacht,Mass Market,35511.18,0,L000953,7416.97,0.2097,300,5,35112.15,34477.61,0.9819,60.7,High,Proactive affordability contact,43,1
C000838,Synthetic Customer 0838,Dublin,Mass Market,60096.75,0,L000838,3861.86,0.4156,90,2,60071.06,57194.32,0.9521,60.1,High,Proactive affordability contact,44,1
C000466,Synthetic Customer 0466,Dublin,Mass Market,56352.52,1,L000466,32084.66,0.7462,0,3,56949.98,54582.69,0.9584,58.6,Medium,Digital budgeting nudge,45,1
C000852,Synthetic Customer 0852,Connacht,Mass Market,22000.0,0,L000852,3943.36,0.3901,90,2,22157.66,19498.35,0.88,58.4,Medium,Digital budgeting nudge,46,1
C000301,Synthetic Customer 0301,Dublin,Mass Market,23126.4,1,L000301,13851.24,0.9161,0,1,23580.49,26120.73,1.1077,58.0,Medium,Digital budgeting nudge,47,1
C000923,Synthetic Customer 0923,Connacht,Emerging Affluent,22289.35,0,L000923,28572.95,0.5646,60,2,22792.63,21041.83,0.9232,57.8,Medium,Digital budgeting nudge,48,1
C000674,Synthetic Customer 0674,Dublin,Emerging Affluent,55565.6,0,L000674,17031.63,0.5434,60,2,54261.27,53972.2,0.9947,57.5,Medium,Digital budgeting nudge,49,1
C000716,Synthetic Customer 0716,Munster,Mass Market,37005.38,0,L000716,6174.03,0.7643,30,2,36764.68,32358.51,0.8802,57.4,Medium,Digital budgeting nudge,50,1
C000178,Synthetic Customer 0178,Connacht,Mass Market,37367.79,0,L000178,1683.56,0.5617,60,2,37493.42,33269.6,0.8873,57.3,Medium,Digital budgeting nudge,51,0
C000603,Synthetic Customer 0603,Munster,Mass Market,22000.0,1,L000603,10720.47,0.99,0,0,22550.8,28292.45,1.2546,56.6,Medium,Digital budgeting nudge,52,0
C000023,Synthetic Customer 0023,Leinster,Emerging Affluent,52395.01,0,L000023,14035.45,0.7164,30,2,52698.38,51178.37,0.9712,56.3,Medium,Digital budgeting nudge,53,0
C000228,Synthetic Customer 0228,Leinster,Mass Market,34955.4,1,L000228,4548.43,0.99,0,0,35507.5,38097.1,1.0729,56.3,Medium,Digital budgeting nudge,54,0
C000563,Synthetic Customer 0563,Munster,Mass Market,73508.92,0,L000563,11941.57,0.3135,120,2,75544.29,74534.42,0.9866,56.1,Medium,Digital budgeting nudge,55,0
C000022,Synthetic Customer 0022,Leinster,Emerging Affluent,52028.79,1,L000022,4241.09,0.99,0,0,50601.12,52239.67,1.0324,56.0,Medium,Digital budgeting nudge,56,0
C000131,Synthetic Customer 0131,Leinster,Mass Market,22000.0,0,L000131,4024.54,0.2079,180,3,22076.47,20215.62,0.9157,55.6,Medium,Digital budgeting nudge,57,0
C000930,Synthetic Customer 0930,Leinster,Mass Market,24165.28,1,L000930,13780.5,0.5603,45,1,24279.92,28805.27,1.1864,55.5,Medium,Digital budgeting nudge,58,0
C000701,Synthetic Customer 0701,Munster,Mass Market,34482.27,0,L000701,966.51,0.3023,90,2,34307.75,32730.15,0.954,55.4,Medium,Digital budgeting nudge,59,0
C000267,Synthetic Customer 0267,Leinster,Mass Market,22000.0,1,L000267,3995.98,0.9608,0,0,22574.22,24783.85,1.0979,55.3,Medium,Digital budgeting nudge,60,0
C000049,Synthetic Customer 0049,Dublin,Emerging Affluent,57015.65,1,L000049,1974.22,0.6537,30,1,57652.65,59065.77,1.0245,54.6,Medium,Digital budgeting nudge,61,0
C000465,Synthetic Customer 0465,Leinster,Mass Market,47240.31,1,L000465,33265.42,0.4525,60,1,48521.11,49864.11,1.0277,54.5,Medium,Digital budgeting nudge,62,0
C000890,Synthetic Customer 0890,Dublin,Mass Market,26612.64,0,L000890,13379.5,0.4757,45,3,26020.26,24497.32,0.9415,54.5,Medium,Digital budgeting nudge,63,0
C000413,Synthetic Customer 0413,Connacht,Mass Market,65218.2,0,L000413,3159.37,0.6917,30,2,65419.46,56990.95,0.8712,54.3,Medium,Digital budgeting nudge,64,0
C000279,Synthetic Customer 0279,Dublin,Mass Market,46828.4,0,L000279,20219.12,0.7946,30,1,48245.87,42378.35,0.8784,54.2,Medium,Digital budgeting nudge,65,0
C000332,Synthetic Customer 0332,Dublin,Affluent,46884.79,0,L000332,13485.69,0.6911,45,1,46426.63,41268.06,0.8889,54.1,Medium,Digital budgeting nudge,66,0
C000115,Synthetic Customer 0115,Dublin,Emerging Affluent,22725.56,0,L000115,13444.31,0.6544,45,1,22621.88,21951.14,0.9703,53.3,Medium,Digital budgeting nudge,67,0
C000017,Synthetic Customer 0017,Munster,Mass Market,23174.82,1,L000017,16951.88,0.4956,45,1,23100.18,26416.74,1.1436,52.8,Medium,Digital budgeting nudge,68,0
C000526,Synthetic Customer 0526,Munster,Mass Market,32060.38,0,L000526,16483.15,0.5547,60,1,30618.75,28156.35,0.9196,52.8,Medium,Digital budgeting nudge,69,0
C000184,Synthetic Customer 0184,Leinster,Mass Market,24931.61,0,L000184,11273.68,0.6524,45,1,24228.4,22289.54,0.92,52.8,Medium,Digital budgeting nudge,70,0
C000024,Synthetic Customer 0024,Munster,Mass Market,67699.26,1,L000024,4154.74,0.9074,0,0,70557.05,73464.73,1.0412,52.6,Medium,Digital budgeting nudge,71,0
C000566,Synthetic Customer 0566,Dublin,Emerging Affluent,22000.0,0,L000566,6299.19,0.1507,135,3,21438.57,18164.57,0.8473,52.5,Medium,Digital budgeting nudge,72,0
C000322,Synthetic Customer 0322,Connacht,Mass Market,34423.82,1,L000322,6219.15,0.6886,15,1,36551.16,39653.37,1.0849,52.5,Medium,Digital budgeting nudge,73,0
C000638,Synthetic Customer 0638,Munster,Emerging Affluent,29971.48,0,L000638,6076.52,0.8532,15,1,29416.66,25534.5,0.868,52.4,Medium,Digital budgeting nudge,74,0
C000606,Synthetic Customer 0606,Connacht,Mass Market,24764.08,1,L000606,21036.41,0.8888,0,0,23511.18,27128.31,1.1538,52.3,Medium,Digital budgeting nudge,75,0
C000849,Synthetic Customer 0849,Dublin,Mass Market,22000.0,1,L000849,8435.59,0.8883,0,0,21977.87,26377.55,1.2002,52.3,Medium,Digital budgeting nudge,76,0
C000951,Synthetic Customer 0951,Ulster (ROI),Mass Market,31608.26,0,L000951,7246.67,0.2352,90,2,31682.05,29471.85,0.9302,52.3,Medium,Digital budgeting nudge,77,0
C000428,Synthetic Customer 0428,Connacht,Mass Market,45051.54,0,L000428,24811.7,0.6208,30,2,43042.39,41034.94,0.9534,52.1,Medium,Digital budgeting nudge,78,0
C000895,Synthetic Customer 0895,Dublin,Mass Market,22000.0,1,L000895,13221.23,0.5785,30,1,22344.31,24882.67,1.1136,52.1,Medium,Digital budgeting nudge,79,0
C000816,Synthetic Customer 0816,Munster,Emerging Affluent,54060.87,0,L000816,9112.49,0.6225,45,1,54438.62,53756.99,0.9875,52.1,Medium,Digital budgeting nudge,80,0
C000434,Synthetic Customer 0434,Connacht,Emerging Affluent,33736.24,0,L000434,23004.99,0.6035,30,2,33655.17,34481.28,1.0245,52.0,Medium,Digital budgeting nudge,81,0
C000850,Synthetic Customer 0850,Munster,Emerging Affluent,31137.27,1,L000850,5957.4,0.8863,0,0,30209.77,32629.82,1.0801,52.0,Medium,Digital budgeting nudge,82,0
C000058,Synthetic Customer 0058,Munster,Emerging Affluent,43631.22,0,L000058,24617.03,0.8279,15,1,44788.43,40894.23,0.9131,51.7,Medium,Digital budgeting nudge,83,0
C000351,Synthetic Customer 0351,Connacht,Mass Market,37316.18,0,L000351,28714.51,0.5311,60,1,37354.4,33311.8,0.8918,51.6,Medium,Digital budgeting nudge,84,0
C000506,Synthetic Customer 0506,Munster,Mass Market,42820.41,0,L000506,20033.35,0.6097,45,1,42911.83,42574.59,0.9921,51.6,Medium,Digital budgeting nudge,85,0
C000075,Synthetic Customer 0075,Dublin,Emerging Affluent,55108.02,0,L000075,27946.54,0.5262,60,1,55112.11,49692.21,0.9017,51.5,Medium,Digital budgeting nudge,86,0
C000977,Synthetic Customer 0977,Dublin,Emerging Affluent,52057.95,0,L000977,10086.06,0.6032,45,1,50267.08,49117.52,0.9771,51.2,Medium,Digital budgeting nudge,87,0
C000440,Synthetic Customer 0440,Leinster,Emerging Affluent,24870.5,0,L000440,9910.96,0.2209,120,2,23244.62,20307.31,0.8736,51.2,Medium,Digital budgeting nudge,88,0
C000739,Synthetic Customer 0739,Leinster,Affluent,40639.63,0,L000739,6346.61,0.7178,30,1,39261.58,35332.01,0.8999,51.2,Medium,Digital budgeting nudge,89,0
C000764,Synthetic Customer 0764,Dublin,Mass Market,26315.99,0,L000764,4050.93,0.4074,60,2,26465.06,24618.1,0.9302,51.2,Medium,Digital budgeting nudge,90,0
C000968,Synthetic Customer 0968,Ulster (ROI),Emerging Affluent,28151.24,1,L000968,12995.59,0.8562,0,0,27380.75,32459.26,1.1855,51.0,Medium,Digital budgeting nudge,91,0
C000708,Synthetic Customer 0708,Dublin,Mass Market,39136.42,0,L000708,4606.35,0.7996,15,1,39101.45,37442.63,0.9576,51.0,Medium,Digital budgeting nudge,92,0
C000939,Synthetic Customer 0939,Ulster (ROI),Emerging Affluent,40357.85,1,L000939,8460.66,0.8525,0,0,39207.38,43034.54,1.0976,50.8,Medium,Digital budgeting nudge,93,0
C000496,Synthetic Customer 0496,Ulster (ROI),Mass Market,39637.57,0,L000496,22099.23,0.1854,120,2,39541.93,37905.73,0.9586,50.5,Medium,Digital budgeting nudge,94,0
C000203,Synthetic Customer 0203,Leinster,Mass Market,43907.88,0,L000203,6080.64,0.6893,30,1,44038.15,41923.45,0.952,50.4,Medium,Digital budgeting nudge,95,0
C000906,Synthetic Customer 0906,Dublin,Affluent,49040.15,0,L000906,23697.53,0.6998,30,1,49380.03,43418.87,0.8793,50.2,Medium,Digital budgeting nudge,96,0
C000170,Synthetic Customer 0170,Connacht,Mass Market,26578.54,0,L000170,5867.69,0.5823,45,1,27821.07,26740.13,0.9611,50.2,Medium,Digital budgeting nudge,97,0
C000872,Synthetic Customer 0872,Dublin,Mass Market,59127.21,0,L000872,1710.31,0.5942,45,1,60310.76,53248.47,0.8829,50.0,Medium,Digital budgeting nudge,98,0
C000236,Synthetic Customer 0236,Munster,Mass Market,55171.01,0,L000236,14273.57,0.0777,180,3,55598.03,50049.35,0.9002,49.9,Medium,Digital budgeting nudge,99,0
C000907,Synthetic Customer 0907,Dublin,Mass Market,28648.52,1,L000907,10412.52,0.8274,0,0,28392.73,32391.01,1.1408,49.8,Medium,Digital budgeting nudge,100,0
C000461,Synthetic Customer 0461,Dublin,Mass Market,57430.22,0,L000461,19164.11,0.4654,60,1,58544.19,56662.09,0.9679,49.5,Medium,Digital budgeting nudge,101,0
C000836,Synthetic Customer 0836,Connacht,Mass Market,66337.36,1,L000836,30123.69,0.8332,0,0,64685.16,66664.61,1.0306,49.4,Medium,Digital budgeting nudge,102,0
C000941,Synthetic Customer 0941,Munster,Mass Market,37400.05,1,L000941,4518.22,0.8352,0,0,37694.8,38735.04,1.0276,49.4,Medium,Digital budgeting nudge,103,0
C000277,Synthetic Customer 0277,Connacht,Mass Market,46961.37,1,L000277,22036.23,0.8253,0,0,47020.11,49523.0,1.0532,49.2,Medium,Digital budgeting nudge,104,0
C000981,Synthetic Customer 0981,Dublin,Emerging Affluent,43743.2,0,L000981,8106.12,0.6658,30,1,43751.18,40492.84,0.9255,49.2,Medium,Digital budgeting nudge,105,0
C000629,Synthetic Customer 0629,Leinster,Mass Market,37500.27,1,L000629,23198.81,0.8268,0,0,38094.02,39421.2,1.0348,49.1,Medium,Digital budgeting nudge,106,0
C000700,Synthetic Customer 0700,Munster,Mass Market,32653.07,0,L000700,14763.36,0.6672,30,1,32437.34,27747.23,0.8554,48.6,Medium,Digital budgeting nudge,107,0
C000429,Synthetic Customer 0429,Connacht,Affluent,26161.77,1,L000429,8773.35,0.7975,0,0,25590.24,30530.68,1.1931,48.5,Medium,Digital budgeting nudge,108,0
C000331,Synthetic Customer 0331,Dublin,Emerging Affluent,27539.17,0,L000331,3285.14,0.5497,45,1,27629.6,25668.65,0.929,48.5,Medium,Digital budgeting nudge,109,0
C000186,Synthetic Customer 0186,Connacht,Emerging Affluent,43065.2,0,L000186,1398.31,0.5573,45,1,45211.07,40009.32,0.8849,48.5,Medium,Digital budgeting nudge,110,0
C000068,Synthetic Customer 0068,Munster,Emerging Affluent,50880.28,0,L000068,8270.12,0.1458,90,2,48665.14,44051.43,0.9052,48.4,Medium,Digital budgeting nudge,111,0
C000702,Synthetic Customer 0702,Leinster,Mass Market,52663.28,0,L000702,8698.83,0.3409,60,2,52788.9,48260.82,0.9142,48.3,Medium,Digital budgeting nudge,112,0
C000177,Synthetic Customer 0177,Munster,Mass Market,35978.18,0,L000177,9033.22,0.6147,0,3,35977.27,35033.33,0.9738,48.2,Medium,Digital budgeting nudge,113,0
C000136,Synthetic Customer 0136,Ulster (ROI),Emerging Affluent,48583.35,0,L000136,13831.77,0.5407,45,1,48902.48,43850.2,0.8967,47.9,Medium,Digital budgeting nudge,114,0
C000436,Synthetic Customer 0436,Munster,Mass Market,26355.15,1,L000436,8703.46,0.7902,0,0,26795.24,28071.73,1.0476,47.7,Medium,Digital budgeting nudge,115,0
C000244,Synthetic Customer 0244,Dublin,Mass Market,32045.0,1,L000244,2550.36,0.3739,45,1,31767.95,35051.99,1.1034,47.7,Medium,Digital budgeting nudge,116,0
C000070,Synthetic Customer 0070,Dublin,Mass Market,51157.9,1,L000070,26565.17,0.7995,0,0,51338.89,50845.4,0.9904,47.6,Medium,Digital budgeting nudge,117,0
C000328,Synthetic Customer 0328,Connacht,Mass Market,26381.72,0,L000328,24478.99,0.5187,45,1,26076.29,24477.4,0.9387,47.3,Medium,Digital budgeting nudge,118,0
C000168,Synthetic Customer 0168,Leinster,Mass Market,26500.51,0,L000168,11023.86,0.5324,45,1,26295.68,23028.57,0.8758,47.3,Medium,Digital budgeting nudge,119,0
C000894,Synthetic Customer 0894,Dublin,Mass Market,22000.0,0,L000894,18940.74,0.4314,60,1,21257.27,18492.36,0.8699,47.2,Medium,Digital budgeting nudge,120,0
C000342,Synthetic Customer 0342,Dublin,Mass Market,41791.79,0,L000342,6938.5,0.4257,60,1,41976.34,37761.43,0.8996,47.2,Medium,Digital budgeting nudge,121,0
C000198,Synthetic Customer 0198,Dublin,Mass Market,22000.0,1,L000198,18304.9,0.7639,0,0,21739.18,26383.6,1.2136,47.1,Medium,Digital budgeting nudge,122,0
C000696,Synthetic Customer 0696,Connacht,Mass Market,56280.25,1,L000696,8933.28,0.7726,0,0,56666.48,60294.26,1.064,47.1,Medium,Digital budgeting nudge,123,0
C000604,Synthetic Customer 0604,Dublin,Emerging Affluent,43137.22,0,L000604,16213.72,0.4144,60,1,44206.37,40750.19,0.9218,47.0,Medium,Digital budgeting nudge,124,0
C000090,Synthetic Customer 0090,Connacht,Mass Market,24301.71,0,L000090,13019.02,0.1035,120,2,24225.78,22675.01,0.936,46.9,Medium,Digital budgeting nudge,125,0
C000954,Synthetic Customer 0954,Dublin,Mass Market,30457.27,0,L000954,14085.11,0.5042,45,1,29279.72,27657.35,0.9446,46.8,Medium,Digital budgeting nudge,126,0
C000035,Synthetic Customer 0035,Connacht,Mass Market,44368.82,0,L000035,6854.95,0.5141,45,1,45444.14,40876.79,0.8995,46.8,Medium,Digital budgeting nudge,127,0
C000720,Synthetic Customer 0720,Leinster,Mass Market,60205.12,1,L000720,18727.68,0.5551,0,2,58862.15,60975.44,1.0359,46.7,Medium,Digital budgeting nudge,128,0
C000284,Synthetic Customer 0284,Connacht,Emerging Affluent,42511.73,1,L000284,16571.35,0.7617,0,0,41676.24,44145.41,1.0592,46.6,Medium,Digital budgeting nudge,129,0
C000595,Synthetic Customer 0595,Ulster (ROI),Mass Market,45137.55,0,L000595,2040.81,0.3093,60,2,44043.43,38255.21,0.8686,46.6,Medium,Digital budgeting nudge,130,0
C000876,Synthetic Customer 0876,Leinster,Emerging Affluent,45402.97,1,L000876,20573.7,0.7502,0,0,44036.35,48306.72,1.097,46.5,Medium,Digital budgeting nudge,131,0
C000350,Synthetic Customer 0350,Munster,Affluent,41727.39,0,L000350,4900.99,0.4218,60,1,41562.26,34887.1,0.8394,46.5,Medium,Digital budgeting nudge,132,0
C000709,Synthetic Customer 0709,Ulster (ROI),Mass Market,24518.1,0,L000709,8917.24,0.9047,0,0,25480.29,23245.37,0.9123,46.3,Medium,Digital budgeting nudge,133,0
C000584,Synthetic Customer 0584,Leinster,Mass Market,22000.0,0,L000584,17925.97,0.3998,60,1,21906.96,19277.76,0.88,46.0,Medium,Digital budgeting nudge,134,0
C000306,Synthetic Customer 0306,Connacht,Mass Market,29682.28,0,L000306,23798.83,0.3754,60,1,29742.19,29179.97,0.9811,45.9,Medium,Digital budgeting nudge,135,0
C000882,Synthetic Customer 0882,Dublin,Mass Market,62278.8,0,L000882,12116.41,0.398,60,1,62199.32,54658.54,0.8788,45.9,Medium,Digital budgeting nudge,136,0
C000719,Synthetic Customer 0719,Leinster,Mass Market,35069.03,1,L000719,8393.33,0.4345,30,1,35272.46,38068.04,1.0793,45.9,Medium,Digital budgeting nudge,137,0
C000084,Synthetic Customer 0084,Connacht,Mass Market,36177.0,0,L000084,7351.92,0.4875,45,1,36583.78,33484.76,0.9153,45.8,Medium,Digital budgeting nudge,138,0
C000276,Synthetic Customer 0276,Leinster,Mass Market,54195.9,0,L000276,17071.94,0.4923,45,1,54266.22,47346.39,0.8725,45.6,Medium,Digital budgeting nudge,139,0
C000437,Synthetic Customer 0437,Leinster,Mass Market,56223.54,0,L000437,11507.28,0.0778,90,2,57024.53,52576.66,0.922,45.6,Medium,Digital budgeting nudge,140,0
C000837,Synthetic Customer 0837,Ulster (ROI),Emerging Affluent,22286.79,0,L000837,27977.17,0.4691,45,1,21950.18,21162.7,0.9641,45.5,Medium,Digital budgeting nudge,141,0
C000559,Synthetic Customer 0559,Dublin,Emerging Affluent,79735.01,0,L000559,9092.2,0.889,0,0,78667.96,70800.73,0.9,45.5,Medium,Digital budgeting nudge,142,0
C000528,Synthetic Customer 0528,Dublin,Mass Market,33985.33,1,L000528,2186.81,0.7295,0,0,33108.64,35944.24,1.0856,45.5,Medium,Digital budgeting nudge,143,0
C000395,Synthetic Customer 0395,Ulster (ROI),Affluent,37589.35,0,L000395,12837.1,0.4626,45,1,36882.16,36344.9,0.9854,45.4,Medium,Digital budgeting nudge,144,0
C000011,Synthetic Customer 0011,Munster,Emerging Affluent,46132.8,1,L000011,28458.02,0.714,0,0,44818.57,49385.93,1.1019,45.0,Medium,Digital budgeting nudge,145,0
C000670,Synthetic Customer 0670,Leinster,Mass Market,59349.87,1,L000670,9945.78,0.7154,0,0,59400.48,64721.94,1.0896,45.0,Medium,Digital budgeting nudge,146,0
C000819,Synthetic Customer 0819,Munster,Mass Market,42897.37,0,L000819,5247.06,0.0764,90,2,43492.2,37443.38,0.8609,45.0,Medium,Digital budgeting nudge,147,0
C000175,Synthetic Customer 0175,Munster,Mass Market,68988.89,1,L000175,2294.99,0.5359,15,1,70129.37,67889.42,0.9681,45.0,Medium,Digital budgeting nudge,148,0
C000524,Synthetic Customer 0524,Dublin,Emerging Affluent,40242.28,0,L000524,7196.96,0.5642,30,1,40208.76,36556.17,0.9092,44.8,Medium,Digital budgeting nudge,149,0
C000149,Synthetic Customer 0149,Dublin,Emerging Affluent,33226.94,0,L000149,18477.21,0.3571,60,1,32301.97,30168.69,0.934,44.7,Medium,Digital budgeting nudge,150,0
C000824,Synthetic Customer 0824,Leinster,Mass Market,46513.67,1,L000824,11777.66,0.7125,0,0,47280.12,50799.89,1.0744,44.7,Medium,Digital budgeting nudge,151,0
C000458,Synthetic Customer 0458,Dublin,Emerging Affluent,51060.21,0,L000458,3940.71,0.3485,60,1,53272.59,52225.43,0.9803,44.7,Medium,Digital budgeting nudge,152,0
